# dtau error scheme
0.0625 0.0118053 euler_explicit
0.03125 0.00582415 euler_explicit
0.015625 0.00289292 euler_explicit
0.0078125 0.00144173 euler_explicit
0.00390625 0.000719686 euler_explicit
0.00195312 0.00035955 euler_explicit
0.000976562 0.000179702 euler_explicit
0.000488281 8.98326e-05 euler_explicit
0.0625 0.000251098 rk2
0.03125 6.13022e-05 rk2
0.015625 1.51459e-05 rk2
0.0078125 3.76428e-06 rk2
0.00390625 9.38312e-07 rk2
0.00195312 2.34234e-07 rk2
0.000976562 5.85157e-08 rk2
0.000488281 1.46236e-08 rk2
0.0625 3.93432e-06 rk3
0.03125 4.79631e-07 rk3
0.015625 5.92085e-08 rk3
0.0078125 7.35494e-09 rk3
0.00390625 9.16498e-10 rk3
0.00195312 1.14383e-10 rk3
0.000976562 1.42869e-11 rk3
0.000488281 1.78529e-12 rk3
0.0625 4.92811e-08 rk4
0.03125 3.00081e-09 rk4
0.015625 1.85123e-10 rk4
0.0078125 1.1495e-11 rk4
0.00390625 7.15927e-13 rk4
0.00195312 4.45199e-14 rk4
0.000976562 2.05391e-15 rk4
0.000488281 1.66533e-16 rk4
