# S  V_numerical  V_exact  Error
0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
1.50753769e+00  1.49424502e-33  0.00000000e+00  1.49424502e-33
3.01507538e+00  1.27884741e-30  0.00000000e+00  1.27884741e-30
4.52261307e+00  3.68217342e-28  0.00000000e+00  3.68217342e-28
6.03015075e+00  5.25851972e-26  0.00000000e+00  5.25851972e-26
7.53768844e+00  4.44119684e-24  0.00000000e+00  4.44119684e-24
9.04522613e+00  2.45852664e-22  0.00000000e+00  2.45852664e-22
1.05527638e+01  9.55060277e-21  0.00000000e+00  9.55060277e-21
1.20603015e+01  2.73441008e-19  0.00000000e+00  2.73441008e-19
1.35678392e+01  5.98884563e-18  0.00000000e+00  5.98884563e-18
1.50753769e+01  1.03339162e-16  0.00000000e+00  1.03339162e-16
1.65829146e+01  1.43908870e-15  0.00000000e+00  1.43908870e-15
1.80904523e+01  1.65037866e-14  2.00844366e-15  1.44953429e-14
1.95979899e+01  1.58587221e-13  2.83856662e-15  1.55748655e-13
2.11055276e+01  1.29625572e-12  3.22172141e-14  1.26403850e-12
2.26130653e+01  9.13352940e-12  4.22495415e-13  8.71103398e-12
2.41206030e+01  5.61414353e-11  4.58467436e-12  5.15567609e-11
2.56281407e+01  3.04289376e-10  3.93131296e-11  2.64976246e-10
2.71356784e+01  1.46851495e-09  2.75034071e-10  1.19348088e-09
2.86432161e+01  6.36671944e-09  1.61159881e-09  4.75512063e-09
3.01507538e+01  2.49993775e-08  8.08564083e-09  1.69137367e-08
3.16582915e+01  8.95690250e-08  3.53801739e-08  5.41888511e-08
3.31658291e+01  2.94834402e-07  1.37136554e-07  1.57697848e-07
3.46733668e+01  8.97280083e-07  4.77144024e-07  4.20136059e-07
3.61809045e+01  2.53937731e-06  1.50724149e-06  1.03213582e-06
3.76884422e+01  6.71885661e-06  4.36526945e-06  2.35358715e-06
3.91959799e+01  1.67019784e-05  1.16904213e-05  5.01155718e-06
4.07035176e+01  3.91841883e-05  2.91652792e-05  1.00189091e-05
4.22110553e+01  8.71232588e-05  6.82258543e-05  1.88974045e-05
4.37185930e+01  1.84290956e-04  1.50512637e-04  3.37783189e-05
4.52261307e+01  3.72181585e-04  3.14735739e-04  5.74458468e-05
4.67336683e+01  7.19945606e-04  6.26658253e-04  9.32873528e-05
4.82412060e+01  1.33795070e-03  1.19282854e-03  1.45122167e-04
4.97487437e+01  2.39538739e-03  2.17849011e-03  2.16897282e-04
5.12562814e+01  4.14202478e-03  3.82976323e-03  3.12261552e-04
5.27638191e+01  6.93380026e-03  6.49974492e-03  4.34055344e-04
5.42713568e+01  1.12614335e-02  1.06776589e-02  5.83774520e-04
5.57788945e+01  1.77807470e-02  1.70196658e-02  7.61081210e-04
5.72864322e+01  2.73429220e-02  2.63794864e-02  9.63435631e-04
5.87939698e+01  4.10225803e-02  3.98366678e-02  1.18591254e-03
